id,name,about,servicesOffered,additionalInfo,organizationType,website,amazonWishlistUrl,addressLine1,addressLine2,city,state,zipCode,contactEmail,contactPhone,contactFax,contactVP,contactForm,contactCrisis,contactCrisisHours,serviceDomains,accessMethods,populationsServed,eligibilityConstraints,geographicCoverage,geographicRegions,geographicCounties,geographicCities,geographicOffices,statewide,crisisServices,transportationProvided,spanishSpeaking,interpretationAvailable,logoURL
bzecQmj2DBWkgyeNuF3n,Individualized Education Program (IEP),"Massachusetts DESE resource page for the Individualized Education Program (IEP), a written document outlining educational goals and services for students with disabilities ages 3-22. Includes forms, guides, and parent resources for the special education process.","Information & Resources: IEP forms, Technical guides, Parent information guides, Transition planning resources, Quick reference guides; Translations: Forms available in 15+ languages including Spanish, Portuguese, Chinese, Arabic, Haitian Creole","New IEP form implemented Fall 2024. IEP process is administered through local school districts. For advocacy support, contact Federation for Children with Special Needs (FCSN) or Massachusetts Advocates for Children.",Online Resource,https://www.doe.mass.edu/specialeducation/iep/,,,,,,,,,,,,,,Education & youth programs; Disability & accessibility support,Online request,Young children; Adolescents; Families; Individuals with disabilities,,Statewide,,,,,,No,No,No,No,https://www.mass.gov/
b6ejY4cUf8WdwtRcB0rK,Inner Voice Outer Change for Youth (IVOC),IVOC provides therapeutic services that foster youth empowerment through the creation of music and multimedia projects. Their approach encourages marginalized youth to partner with IVOC as they lean into the therapeutic process of self-expression.,"Healthcare & Mental Health: Therapeutic services, Creative wellness programs; Education & Youth Programs: After-school music programs, Videography training, Multimedia arts; Community: Upstream Initiative (academic success rewards with self-care access)",,Community-Based Organization,https://ivocforyouth.com/,,,,Worcester,MA,,info@ivocforyouth.com,(978) 822-6501,,,,,,Healthcare & mental health; Education & youth programs,Appointment Required; Phone Request,Adolescents; Transition-age youth,Age Restrictions,Statewide,,,,,,No,No,No,No,https://ivocforyouth.com/
QQxwUO9YbgjoQ6jPM4of,Kid's Net (MSPCC),"Kid's Net is a program of MSPCC (Massachusetts Society for the Prevention of Cruelty to Children, a division of Eliot Community Human Services) that provides services and supports to DCF foster, pre-adoptive, and kinship families statewide.","Foster Care Support: Family Resource Liaisons (experienced foster/adoptive parents providing mentoring); Respite: Up to 10 nights/year paid overnight respite, 10 hours/month babysitting; Training: CPR/First Aid, foster care-specific trainings, online training library; Support Groups: Regional support groups for foster families; After-Hours Helpline: Evening/weekend support when DCF offices closed",All services free for foster parents. Kid's Net contracts with DCF to provide statewide support. Family Resource Liaisons available in every DCF area office. Also operates KINnections program for kinship caregivers.,Nonprofit Organization,https://www.mspcc.org/kidsnet/,,125 Hartwell Avenue,,Lexington,MA,02421,kidsnet@mspcc.org,(781) 861-0890,,,,1-800-486-3730,5pm-9am weekdays; 24 hours weekends/holidays,Foster care & child welfare; Parenting & family support,Phone Request,Families; Foster / Kinship Families,Documentation Required,Statewide,,,,Lexington; Boston; Holyoke; Lawrence; Lowell; Worcester; Hyannis,,Yes,No,Yes,No,https://www.mspcc.org/
WWnzCnBBWdUNHpk7Gu43,Kind Hearts for Kids,"Serves vulnerable children and teens living in foster, adoptive, and kinship care including grandparents raising grandchildren. We're dedicated to being a compassionate, supportive, and positive influence on these children by honoring and celebrating them on their birthdays & holidays. We are committed to providing fun events to shower them with kindness, and help build confidence and self respect. We engage and bring awareness to their needs through fundraising, spreading our group’s important message and engaging in service projects in our local community.","Community & Mutual Aid: Birthday bags, Birthday parties (ages 3-18), Holiday celebrations; Events: Fun events for foster/kinship youth; Programs: Creative art sessions for self-esteem and emotional regulation","Founded 2019 by Nicole Mitchell. Operates the Kind-Nest, a safe haven space in Pocasset. Mailing address: 5 Sea Lane, Sagamore Beach, MA 02562. Serves Cape Cod, Plymouth, Wareham, and throughout MA.",Nonprofit Organization,https://www.kindheartsforkids.org,,Kind-Nest,4 Barlows Landing Road #18,Pocassat,MA,02559,kindheartsforkidsinc@gmail.com,,,,,,,Community & mutual aid; Foster care & child welfare,Phone Request,Young children; Adolescents; Foster / Kinship Families,,County-wide,,,,,,No,No,No,No,https://www.kindheartsforkids.org/
7xgA23pOMdd7SZdNx8cH,Kinship Legal Toolkit,Legal resource toolkit from the ABA Children's Rights Litigation Committee providing social science research and legal advocacy tools to support kinship placements in child welfare cases.,"Information & Resources: Research summaries on benefits of kinship care, Legal advocacy tools, Citations to laws and policies, Social science research for court use",Created by ABA Litigation Section Children's Rights Litigation Committee with contributions from MA Committee for Public Counsel Services. Updated January 2022. See also grandfamilies.org for state-specific kinship laws database.,Online Resource,https://www.americanbar.org/groups/litigation/resources/childrens-rights/benefits-of-kinship-placement/,,,,,,,,,,,,,,Legal aid & advocacy,Online request,Adults; Foster / Kinship Families,,Nationwide,,,,,,No,No,No,No,
yoYnYH1qX02TqtveOej1,Kinship Navigator,Kinship Navigator is a program of the Commonwealth of Massachusetts that assists all kinship caregivers (grandparents and other relatives) with accessing services for themselves and the children they are raising.,"Navigation & Referral: DTA benefits navigation, WIC assistance, DCF guidance; Support Services: Family Resource Center connections, support groups, mental health/counseling referrals, legal services referrals, childcare assistance, substance misuse family support; Information: Food & nutrition assistance, community resources","Serves DCF kinship foster parents, Probate & Family Court involved families, and informal caregivers. Zoom support available. Spanish language resources available.",Government Agency,https://www.mass.gov/kinship-navigator,,,,,MA,,kinshipnavigator@mass.gov,1-844-924-4KIN (4546),,,,,,Foster care & child welfare; Parenting & family support,Self-referral; Online request; Phone request,Young children; Adults; Families; Foster / Kinship Families,Documentation Required,Statewide,,,,,,No,No,No,No,https://www.mass.gov/
7klfFvQ4naEpiDId3RkV,Legendary Legacies Inc.,"Gang rehabilitation and reentry nonprofit serving young men of color ages 17-24 in Worcester. Founded 2018 by Ron Waddell. Based on four pillars: belief, opportunity, transformation, and brotherhood.","Mentoring & Life Skills: Case management, positive male role models, life skills development, family support services; Programs: Legacy Builders (at-risk youth prevention), Legacy Links (reentry from incarceration), Legacy Transport (workforce development/food distribution), Crisis Response Team, Restorative Justice Circles; Other: Athletics, podcasting, recreational opportunities, local/national/international service opportunities","Partners with MA DYS, Worcester Public Schools, Worcester County Sheriff's Office, Worcester House of Corrections, Worcester County Food Bank. Faith-inspired program. EIN: 82-4456424",Nonprofit Organization,https://legendlegacy.org/,,40 Southbridge St,Suite 200,Worcester,MA,01608,getconnected@legendlegacy.org,(774) 701-9134,,,,,,Education & youth programs; Employment & job training,Phone Request,Adolescents; Transition-age youth; Justice-involved individuals,,City-specific,,,Worcester,,,No,No,Yes,Yes,https://legendlegacy.org/
UcYgVAPtKV9pKhIDrlEy,Love Your Labels,"LGBTQ+ led nonprofit that supports queer and trans youth through art, fashion, and design. Founded 2019 in Worcester. Believes authentic self-expression is life-saving.","Youth Programs: Threads fashion design and identity program (middle/high school), Youth Fashion Designer-in-Residence program; Community Programs: Drag Queen Story Time, Open Studio Thursdays (3-9pm fashion/design makerspace), ASL Meetup Group for Deaf Queer community, Transgender Day of Remembrance events; Family Support: Parents & Families Network for caregivers of LGBTQ+ youth; Events: Queer AF Art+Fashion Show (annual fundraiser at Mechanics Hall); Advocacy: Queer Coalition of Greater Worcester (fiscally sponsored initiative)",Has Creative Community Room & Sewing Studio space in Worcester. For Parents & Families Network contact dani@loveyourlabels.org,Nonprofit Organization,https://loveyourlabels.org ,,PO Box 2301,,Worcester,MA,01613,team@loveyourlabels.org,,,,,,,Education & youth programs; Community & mutual aid,Phone Request,Adolescents; Transition-age youth,,County-wide,,Worcester,,,,No,No,No,No,https://loveyourlabels.org/
M5VqVnSljHq2QCfS5kcA,LUK Crisis Center,"Nonprofit social service agency founded 1970 in Fitchburg (originally ""Let Us Know Crisis Center""). Provides prevention, intervention, education, and support services for youth, families, and adults throughout Central Massachusetts.","Mentoring: Community-based and site-based mentoring for youth ages 6-17; Behavioral Health: Mental health assessment and treatment, individual/family/couples therapy, expressive art therapy, psychiatric consultation, medication management; Substance Use: Prevention programs, outpatient treatment, Moving On Program (MET/CBT), CLYR recovery support, CRAFT parent support groups; Trauma: Central MA Child Trauma Center (TF-CBT, CPP, ARC); Residential: Horizon House (ages 10-18), Bridge Home (up to age 12); Youth Development: Prevention programming, youth groups",Referrals: referrals@luk.org or www.luk.org/make-a-referral. Youth under 18 need parental/guardian consent. Spanish & Portuguese capacity for some programs. CEO: Beth Barto. Founded 1970.,Nonprofit Organization,https://www.luk.org,,545 Westminster Street,,Fitchburg,MA,01420,prevention@luk.org,(978) 345-0685,(978) 345-3602,,https://www.luk.org/make-a-referral,,,Healthcare & mental health; Substance use & recovery; Education & youth programs,Self-referral; Phone request; Emergency / crisis access,Adolescents; Adults; Families,Age Restrictions,Regional,Central Mass,,,Fitchburg; Worcester; Webster,,No,No,Yes,No,https://www.luk.org/
3HnlWRRib8ImrE6Xag8F,Massachusetts Adoption Resource Exchange (MARE),"Private nonprofit founded 1957 to find adoptive homes for children and teens in foster care, including sibling groups and children who are traditionally harder to place. One of the first five adoption exchanges in the US. Partners with MA DCF and private adoption agencies. Has helped place over 7,000 children since founding.","Adoption Services: Recruitment of adoptive families, family education and training, adoption support services, targeted recruitment for specific waiting children; Programs: Wendy's Wonderful Kids (child-focused recruitment for longest-waiting youth), Weekend Family Connections (host family program), adoption events statewide; Support: Connects prospective families with social workers, provides resources throughout adoption process","All services free to families. Executive Director: Lisa Funaro, MSW. Open to all family types regardless of race, ethnicity, sexual orientation, gender identity, or background. Currently ~1,150 MA children with goal of adoption but no identified resource.",Nonprofit Organization,https://www.mareinc.org/,,19 Needham Street,Suite 206,Newton Highlands,MA,02461,,(617) 964-6273,,,,,,Foster care & child welfare,Phone Request,Families,,Statewide,,,,,,No,No,No,No,https://www.mareinc.org/hs-fs/hubfs/Logos/MARE-logo-full-horizontal-white-sm-1.png
nObsBEuX9p7n5TZv91jt,Massachusetts Alliance for Foster Families (MAFF),"Statewide association of DCF foster, adoptive, kinship, and guardianship parents providing advocacy and support for children and the families who care for them. Supported by MSPCC (Massachusetts Society for Prevention of Cruelty to Children). Board meets regularly to identify issues of concern and advance solutions.","Advocacy: Legislative advocacy for foster/kinship/adoptive family rights, Foster Parents' Bill of Rights information; Support: Connection to MSPCC Kid's Net resources, annual foster care conferences, area representative network; Education: Information on rights and DCF processes","Free membership open to all foster, kinship, adoptive, and guardianship parents. Operates under MSPCC, a division of Eliot Community Human Services. Helped establish MA Foster Parents' Bill of Rights.",Nonprofit Organization,https://www.mspcc.org/maff,,,,,,,maff@mspcc.org,,,,,,,Foster care & child welfare; Legal aid & advocacy,Phone Request,Young children; Families; Foster / Kinship Families,,Statewide,,,,,,No,No,No,No,https://www.mspcc.org/
x6ViVM0N1LkWttAXGhgk,Massachusetts Behavioral Health Help Line,"The Massachusetts Behavioral Health Help Line (BHHL) is here to connect you directly to clinical help, when and where you need it. Even if you’re not sure what kind of help or treatment you may need, we can help guide you.","Crisis Support: 24/7/365 call, text, or online chat; Clinical assessment and triage; Connection to mental health and substance use treatment (outpatient, urgent, crisis); Warm handoffs to services; 48-hour follow-up for urgent referrals; Resource referrals for transportation, childcare, food",No health insurance required.,Government Agency,https://masshelpline.com,,200 State Street,Suite 305,Boston,MA,02109,,,,711,https://www.masshelpline.com/contact/,1-833-773-2445,24/7,Healthcare & Mental Health,Self-referral; Phone request; Online request; Emergency / crisis access,Adolescents; Adults; Families,,Statewide,,,,,,Yes,No,Yes,Yes,https://masshelpline.com/
2petLVoIBEtNnqYbhrfz,Massachusetts Victims of Violent Crime Compensation,"Financial assistance program for eligible victims of violent crime, covering uninsured medical/dental care, mental health counseling, funeral/burial costs, lost wages, and other crime-related expenses up to $25,000. Funds of last resort obtained primarily from perpetrators.","Financial Assistance: Medical and dental care, mental health counseling (including alternative therapies like trauma-informed yoga, therapeutic horseback riding, acupuncture), funeral and burial costs, lost wages, security measures; Sexual Assault: Forensic exam costs automatically covered; Applications available in English and Spanish",Crime must be reported to police within 5 days. Application deadline 3 years from crime. Approved claims never expire. General inquiries: MOVA@mass.gov,Government Agency,https://www.mass.gov/massachusetts-victims-of-violent-crime-compensation,,Massachusetts Office for Victim Assistance,"One Ashburton Place, Suite 1310",Boston,MA,02108,VCCorrespondence@mass.gov,(617) 586-1340,(617) 742-6262,(617) 727-4765 (TTY),https://ccvcma.org/,,,Financial Assistance,Phone Request,Adults; Families; Survivors of domestic violence,Residency Requirements,Statewide,,,,,,No,No,No,No,https://www.mass.gov/
Tf9ran5Kjj55xCkVRqpw,Montachusett Regional Vocational Technical High School Care Solace,"Mental health care coordination service provided to Monty Tech students, families, and staff at no cost. Care Solace navigates the mental health system to find community-based providers and secure appointments.","Care Navigation: Finding mental health providers matched to specific needs, appointment booking, follow-up to ensure satisfaction; Features: 24/7/365 support including holidays/weekends, 200+ languages, accepts public/private insurance or sliding scale options, text and video chat available","Must be Monty Tech student, family member, or staff. Ashburnham, Ashby, Athol, Barre, Fitchburg, Gardner, Harvard, Holden, Hubbardston, Lunenburg, Petersham, Phillipston, Princeton, Royalston, Sterling, Templeton, Westminster, Winchendon",Community-Based Organization,https://caresolace.com/site/montytech,,1050 Westminster St,,Fitchburg,MA,01420,,1-888-515-0595,,,,,,Healthcare & Mental Health; Substance Use & Recovery,Online Request; Phone Request,Adolescents; Adults; Families,Membership requirements,County-wide,,,,,,No,No,No,No,https://caresolace.com/
6yd2i1fd8vm7n3qMyfIx,My Ombudsman,"Independent advocacy program helping MassHealth members understand their healthcare rights and benefits to access needed care. Operated by Disability Policy Consortium (DPC) through contract with MassHealth. Serves members of all ages, abilities, and identities.","Advocacy: Answer questions about MassHealth plan benefits and rights, explain denial letters, help address access problems, mediate between members/providers/plans; Support: Investigate complaints, explain grievance and appeal processes, referrals to other organizations; Walk-in: Boston office appointments Thursdays 10am-3pm","Hours: Monday-Friday 9am-4pm. Wheelchair accessible office. Cannot represent members in appeals/grievances but can explain the process. ""No wrong door"" approach. Serves all MassHealth plan types including One Care, Fee for Service, ACOs, MCOs, and Children's Medical Security Plan.",Must be enrolled in MassHealth,https://myombudsman.org,,25 Kingston Street,4th Floor,Boston,MA,02111,info@myombudsman.org,1-855-781-9898,,(339) 224-6831,https://www.myombudsman.org/contact,,,Healthcare & mental health; Legal aid & advocacy,Self-Referral,Adults; Families; Individuals with disabilities,Income-based eligibility,Statewide,,,,,,No,No,Yes,Yes,https://myombudsman.org/
qYmNXpUbNDunDfH1Vn9V,Net of Compassion,Faith-based nonprofit founded 2010 by Pastor Richie Gonzalez following his own recovery from substance use disorder and homelessness.,"We serve men and women struggling with poverty, substance use disorder, prostitution, homelessness and those living with mental illness.","Joshua's Showers at St. John's Church, 44 Temple St. Hotel Grace at Ascension Church, 44 Vernon St. Programs at 674 Main St (basement level). Volunteer-driven, peer-led model.",Nonprofit Organization,https://www.netofcompassion.org/,,674 Main Street C1,,Worcester,MA,01610,info@netofcompassion.org,(774) 420-2445,,,,,,Housing & shelter; Substance use & recovery; Food & nutrition,Phone Request,Adults; Low-income / housing-insecure individuals,,City-specific,,,,,,No,No,No,No,https://www.netofcompassion.org/
RFAnqi17gEc248bt14L4,"New Hope, Inc.","Domestic and sexual violence services for 41 communities in South-Central and Southeastern Massachusetts. 24/7 hotline, emergency shelter, counseling, court advocacy, and prevention programs. All services free.","Crisis: 24/7 hotline, emergency shelter (2 confidential locations); Counseling: Individual/family for adults and children, EMDR, TF-CBT, ARC; Court: SAFEPLAN advocates at 7 district courts and 1 probate court (Attleboro, Dudley, East Brookfield, Milford, Taunton, Westborough, Uxbridge); Other: Supervised visitation (Worcester), housing stabilization, civilian police advocates, SANE advocates at Morton & Sturdy hospitals, RESPECT intimate partner abuse education program",,Nonprofit Organization,https://new-hope.org,,247 Maple Street,,Attleboro,MA,02703,new-hope@new-hope.org,1-800-323-HOPE (4673),,,,,,Domestic Violence & Safety,Phone Request; Emergency / Crisis Access,Young children; Adults; Survivors of Domestic Violence,,Regional,Central Mass,,,Attleboro; Taunton; Milford; Worcester,,No,No,Yes,No,https://new-hope.org/
1PLG7CL1y0u1vMEyVJzh,One Can Help,"Provides emergency funding for at-risk youth and families involved with DCF or juvenile courts. Resources include transportation, housing assistance, education, basic necessities, and activities. Funding up to $1,000 per request.","Emergency resource funding: transportation (bus/train passes, car repair), housing (emergency rent, utilities, security deposits, furniture), education (laptops, school supplies, job training), basic necessities (clothing, food cards, baby supplies), activities (camps, sports), other (ID cards, therapeutic needs, visitation support)","Applications accepted only from professionals (attorneys, social workers, CASA, child advocates). Text preferred for contact. Response by next business day. Cannot reimburse cash or expenses prior to approval.",Nonprofit Organization,https://onecanhelp.org/,,P.O. Box 55,,Newton,MA,02468,info@onecanhelp.org,(617) 930-3468 (text preferred),,,,,,Financial assistance; Foster care & child welfare,Agency Referral Only; Online Request,Young children; Transition-Age Youth; Adults; Families; Foster / Kinship Families; Individuals with Disabilities,Documentation Required,Statewide,,,,,,Yes,No,No,No,https://onecanhelp.org/
