Name of Organizatio}BN,Category,Geography Served,Location of Organization,Website,Type of Organization,Service(s)/About,Special Requirements,Who Can Request,How to Request,Contact Email,Contact Phone,Details/Description,Notes
Catie's Closet,Clothing,Massachusetts,"28 Loon Hill Road Dracut, MA 01826",Home | Catie's Closet (catiescloset.org),Nonprofit,"Catie’s Closet is a 501(c)(3) non-profit organization that provides clothes, toiletries, and other basic essentials to students living in poverty right within their schools. We set up free stores in schools, giving children direct access to everything they need to attend class confidently. ",N/A,Anyone across Massachusetts,Visit website for online contact form,See online contact form on website: www.catiescloset.org/contact-us/ , 978-957-2200 Headquarters ,"They have 3 distribution centers in Massachusetts, Dracut (Headquarters), Boston and East Longmenadow (near Springfield)",
Catholic Charities of Worcester ,"Immigrant/Refugee Resources Languages include English, Vietnamese and French","Worcester, MA","Worcester, MA",www.ccworc.org,Nonprofit,"A multi-service agency serving refugees and immigrants. Services include: resettling refugees and immigrants, cultural orientation, MRRP case management, assistance for processing of INS change status documents, assistance through a variety of human services to refugees and immigrants, history for legalized immigrants, and referrals.",N/A,Anyone in that Community,,Catholic Charities of Worcester 10 Hammond Street Worc. MA 01610 508-798-0191 www.ccworc.org,,,
Children's Cove,The Cape & Islands Advocacy Center,Cape and Islands MA,"Mailing Address: PO Box 427, Barnstable, MA 02630",Childrens Cove – The Cape & Islands Child Advocacy Center,Nonprofit/Community Resource,"Children’s Cove coordinates the multidisciplinary response to cases of child sexual abuse, physical abuse, witness to domestic violence, sexual exploitation, and trafficking. We receive referrals from investigative agencies such as law enforcement, the Department of Children and Families, and the District Attorney’s office for cases on Cape Cod, Nantucket, and Martha’s Vineyard.",Serving Cape and Islands MA Residents,"When a child has made a disclosure of abuse a report to law enforcement or the Department of Children and Families needs to happen. Once they have received the report they coordinate with us and the non-offending caregiver to schedule an interview with Children’s Cove. In some cases, families may only have a question or would like their child to have an appropriate therapy referral. Calling our program will connect you to someone who can help navigate the best options to support a child in need.",Call 508-375-0410 or visit website https://www.childrenscove.org/about-us/contact-us/,Online Contact form https://www.childrenscove.org/about-us/contact-us/,508.375.0410,,
Children's Trust,This is a curated database of resources is provided by Find Help Near You | Children's Trust MA.,Massachusetts,Massachusetts,"Social Services for 01605 (worcester, ma) | Find Help Near You | Children's Trust MA ",Nonprofit/Community Resource,"Thousands of resources catergorize by need, search by zip code. https://ctmstaff.findhelp.com/ ",Visit https://ctmstaff.findhelp.com/ ,Anyone in need can search the site for resources.,View list to find ways to request specific needs. https://ctmstaff.findhelp.com/ ,na.,n/a,"When police or the Department of Children and Families believe a child is being abused, the child is brought to the CAC, which is a child friendly and safe place, by a non-offending parent or caregiver. At the CAC, the child tells their story once to a trained interviewer who knows the right questions to ask in a way that does not retraumatize the child. After the interview, a team that includes medical professionals, law enforcement, mental health, child protective services, victim advocacy, and other professionals make decisions together about how to help the child based on the interview. The child and their non-offending family are then offered immediate wrap-around services such as family advocacy, mental health and medical services. This is called the multidisciplinary team (MDT) response and is a core part of the work of CACs.",
Choices Inc. APG/PASS/REA,Youth Peer Recovery Support,Worcester County,"108 Grove St. Suite 205, Worcester MA 01605",www.4choices.org,Nonprofit/Community Resource,"Substance use recovery for adolescents. Embrace all pathways to recovery, ensuring that our adolescents are free from judgement and stigma while forging their chosen path to a life that is free of addiction.We are a support for Worcester County teens struggling with substance use challenges. Our services are of no cost to families.

We offer wrap around services including clinical support, skill building and healthy sober activities for teens who have experienced challenges with substance use and other comorbidity's such as anxiety and depression.  Our peer mentors and recovery navigators offer adolescents critical support during the non scheduled hours after school when boredom and peer pressure can lead to poor decision making and substance use. We offer services such as medication management, 1 on 1 and group therapy, art and music therapy, and a full recreation center for age-appropriate activities, groups, concerts and movie nights.

Our staff include doctorate level clinicians and physicians, Licensed Alcohol and Drug Counselors (LADC 1 & 2) and licensed social workers. ",N/A,Teens and adolescents,Call 1-508-455-5053 visit website online request form www.4choices.org,intakes@4choices.org,1-508-455-5053,"Alternative Peer Group (APG), Positive Alternative to Student Suspension P.A.S.S., Recovery Eductional Academy REA We are a support for Worcester County teens struggling with substance use challenges. Our services are of no cost to families.

We offer wrap around services including clinical support, skill building and healthy sober activities for teens who have experienced challenges with substance use and other comorbidity's such as anxiety and depression.  Our peer mentors and recovery navigators offer adolescents critical support during the non scheduled hours after school when boredom and peer pressure can lead to poor decision making and substance use. We offer services such as medication management, 1 on 1 and group therapy, art and music therapy, and a full recreation center for age-appropriate activities, groups, concerts and movie nights.

Our staff include doctorate level clinicians and physicians, Licensed Alcohol and Drug Counselors (LADC 1 & 2) and licensed social workers. ","At Choices, we envision a world where every person has access to the resources they need to live a healthy, happy, and fulfilling life. We strive to create a world where everyone has the opportunity to thrive, regardless of their background or circumstances."
Community Connections Coalitions,Funds for Community Connections Coalitions are expected to be used to provide facilitative leadership and to coordinate collaborative work.,Worcester Area,Worcester Community Connections Coalition 20 Cedar St. Worc. MA 01609 Phone: 774-312-3838 and Southbridge Community Connections Coalition 5 Optical Dr. Southbridge MA 01559 Phone: 774-534-1951,Community Connections Coalitions (sevenhills.org),Nonprofit/Community Resource,"Provides a safe and neutral setting for residents and service providers, including DCF, to communicate, make decisions, share resources, and coordinate action planning.",N/A,Residents and Service Providers,Worcester Community Connections Coalition 20 Cedar St. Worc. MA 01609 Phone: 774-312-3838 and Southbridge Community Connections Coalition 5 Optical Dr. Southbridge MA 01559 Phone: 774-534-1951,Worcester Community Connections Coalition: Email: abureau@sevenhills.org; Southbridge Community Connections Coalition dtoribio@sevenhills.org,Worcester Community Connections Coalition 20 Cedar St. Worc. MA 01609 Phone: 774-312-3838 and Southbridge Community Connections Coalition 5 Optical Dr. Southbridge MA 01559 Phone: 774-534-1951,"In their work toward building local family support systems and preventing child abuse and neglect, coalitions are expected to establish a new, or enhance an existing, community-based infrastructure that provides a safe and neutral setting for residents and service providers, including DCF, to communicate, make decisions, share resources, and coordinate action planning. Funds for Community Connections Coalitions are expected to be used to provide facilitative leadership and to coordinate collaborative work.",
Community Legal Aid,Free Civil Legal Assistance,Central and Western Mass. ,"Five Offices located in Fitchburg, Northampton, Pittsfield, Springfield and Worcester",www.communitylegal.org,Nonprofit/Community Resource,"Community Legal Aid helps people obtain safe and stable housing, access benfit programs to stabilize their income, obtain needed services in school, and break free from domestic violence and other abuse and exploitation.",N/A,Anyone ,Call the intake line: 855-252-5342 visit online for current intake hours and to apply for services; COMMUNITYLEGAL.ORG/HELP,n/a,855-252-5342,"* Eviction defense and housing discrimination * Family law issues (divorce,custody, visitation, child support for domestic violence and sexual assault survivors) * Abuse and harassment prevention orders * Special education and school discipline issues * Employment discrimination and unemployment * DCF cases arising from poverty-related challenges (Hampden County) * Government benefits (TAFDC, EAEDC, Foodstamps/SNAP, Veterans' Benefits,) * Social Security, Supplemental Security Income (SSI), and state supplemental benefits, * Health care benefits (including MassHealth and Medicare), nursing home issues, and elder neglect, * Re-entry after incarceration (criminal record sealing, accessing housing and jobs) * Accessing homeless shelters * Debt collection and bankruptcy * Wills, estates, and Probate Court matters (trusts, powers of attorney, health care proxies, name changes) * Humanitarian-based immigration relief ",
Criterion Child Enrichment,Early Intervention Services,Massachusetts,"Criterion Valley Early Invention 375 Fortune Blvd. Milford, MA ",www.criterionchild.com,Nonprofit/Community Resource,"The primary focus of early intervention during the first three years of a child's life is family education, training and support.",Eligibilty is based on assessment results of any child referred between birth and 3 years old.,"Parents, medical providers, community agencies and child care providers can call the program to refer a child.",Call 508-478-7752,,508-478-7752,"Once a referral is received, an appointment will be scheduled to determine eligibility. ",
DCF - Department of Children and Families Becoming a Foster Parent,Foster Care,Massachusetts,"Main Office, One Ashburton Place, Boston MA 02108",https://www.mass.gov/how-to/steps-to-become-a-dcf-foster-parent,Government Organization,For families interested in becoming foster parents and placement process.,https://www.mass.gov/how-to/steps-to-become-a-dcf-foster-parent,Anyone who would like to learn more about foster care,DCF Foster Care/Adoptive Recruitment Line 1-800-543-7508,n/a,DCF Foster Care/Adoptive Recruitment Line 1-800-543-7508,There is an online form to request a meeting or outreach from a representative. ,
Detox Local,Substance Use Recovery and Mental Health Resources,Find One Near You,Search by Zip Code,Find a Detox Near Me - Detox Local,Nonprofit/Community Resource,"At Detox Local, we make finding a quality detox center near you as easy as possible. We hope that by providing these tools, those entering drug and alcohol detox can focus more fully on their recovery and have a better chance for successful, long-term sobriety. Try out the different search options below and see which one works best for you.",Anyone - Specific access to the BIPOC community,"Our comprehensive drug detox center directory consists of programs located throughout the United States, ensuring that anyone in need of effective, high-quality treatment can find the best drug detox clinic near them.  Our goal is to provide information and helpful guidance so that people seeking detox treatment can make the most informed and appropriate decisions for their recovery.",Sponsored 24/7 Detox Help Line 866-685-2286,,Sponsored 24/7 Detox Help Line 866-685-2286,,Drug Withdrawal Timelines & Symptoms For 39 Most Abused Drugs (detoxlocal.com)
District Attorney Joseph D. Early Youth Education & Prevention Programs,Youth Prevention ,Worcester County,"225 Main Street #G301, Worcester MA 01608",Worcesterda.com,Government Organization,Bullying (Harassment Prevention) - Cyber Safety (Harassment Prevention) - This Is (NOT) About Drugs (Drug Prevention) - If They Had Known (Prescription Drug Misuse Documentary/Discussion) - Distracted Driving Prevention (Safe Driving Education) - Hazing (Harassment/Initiation Abuse Prevention) - The Impact of Trauma (ACE’s and Child Development) - Court System Overview (Criminal Justice System) - Healthy/ Unhealthy Relationships (Dating Violence Prevention) - Social Host Liability Training (Underage Drinking Laws Workshop) - Mandated Reporter Training (File and Report Child Abuse and Neglect) - Drink Safety - Vaping Education and Prevention,,"The office of the District Attorney Joseph D. Early, Jr. conducts community outreach programs for schools, businesses, agencies, health care professionals and churches. These programs are offered free of charge.",Please contact: Assistant District Attorney Don Xenos at 508-755-8601 ,"Contact us: 508-755-8601, Worcesterda.com",508-755-8601,"A Commitment to Quality of Life: ""As the District Attorney of the Middle District, also known as Worcester County, I am committed to helping our students and citizens of this district improve the quality of their lives and to live without fear of violence and be safe from crime. To that end, our office has created a series of community presentations designed to empower students by giving them the kind of information they need to feel safe and help them make good choices.""",
DETOX LOCAL: 45 AAPI ADDICTION AND MENTAL HEALTH RESOURCES,Substance Use Recovery and Mental Health Resources Specific to the American Asian and Pacific Islander Community,Find One Near You,Search by Zip Code,45 AAPI Addiction and Mental Health Resources | Detox Local,Nonprofit/Community Resource,"We know that mental health concerns and substance abuse have increased since the onset of the COVID-19 pandemic, and this does not exclude members of the AAPI community. In fact, those concerns are at an all-time high for Asian-Americans due to the racism that has followed allegations that people of the AAPI community are actually responsible for the pandemic. These negative racial perceptions have led to increased general psychological distress, anxiety, and depression, and a high percentage of Asian-American individuals have reported direct racial discrimination due to the COVID-19 pandemic.",N/A,Anyone - Specific access to the AAPI community,Sponsored 24/7 Detox Help Line 866-685-2286,,Sponsored 24/7 Detox Help Line 866-685-2286,"Within the AAPI community, cultural beliefs and pressures have made it difficult for Asian-Americans to reach out for help. Factors like age, gender, occupational pressures, family values, and dynamics, as well as religious beliefs and spirituality typically drive individuals away from professional care. It can be seen as weak or disrespectful to turn to a therapist rather than to the family unit, and even then emotions are not widely expressed or discussed in these communities. However, it’s imperative that those looking to quit drugs and alcohol seek help at a detox center to maximize their chances of getting and staying clean. It’s also incredibly important to be aware of common drug withdrawal symptoms. Once detox has been completed, it’s imperative to find a highly-rated drug rehab center",
Directory of Resources for Families of Children and Youth with Special Needs,Special Needs,All of Massachusetts,,Massachusetts Family TIES (massfamilyties.org),Nonprofit,Offer an annual directory of resources for families of children and youth with special needs.This a comprehensive directory to link families with special needs to any and all organizations across all of Massachusetts to supports in every area imaginable. ,N/A,,,,,,
Everyday Miracles,Peer Recovery Support Center,Worcester County,"25 Pleasant Street, Worcester MA 01609",www.everydaymiraclesprsc.com,Nonprofit/Community Resource,Peer Recovery Support Center for Substance Use and Addiction Support,Adults,"There are many different types of drug detox centers. Specialty services will be listed alongside each drug detox. Some important specialty characteristics to take note of include dual diagnosis, pregnancy detox care, adolescent detox, LGBTQ sensitive, legal referral programs, spanish speaking programs, and detoxes that specialize in co-occurring health issues such as HIV/AIDS. The best fit will depend mostly on what one’s particular needs may be.",Call 774-670-4428 or visit website www.everydaymiraclesprsc.com,"Theresa Buccico, Community Egagement Specialist, CPS Theresa.Buccico@spectrumhealthsystems.org",774-670-4420,"Recovery is possible! Walk in, call or visit website for Recovery Support by Peers and professionals.",
Family Continuity,Youth Diversion Program,"Worcester & Whitinsville, MA ",,n/a,Government Organization,"Public safety partnership focusing on reducing unnecessary and harmful use of secure detention for low-risk juveniles. Our mission is to safely support youth in the Commonwealth, in their communities, with proper supervision, so that we may reduce the percentage of youth held in detention while their court cases are pending.",Referral Process,,,"Josenny Tavarez, Worcester County Youth Diversion Coordinator jtavarez@familycontinuity.org C: 508-769-5153 Fax: 508-234-3944 ",,,
Family Resources Center ,Clinical & Support Options for Families,Worcester County,"Gardner Family Resource Center A Program of Clinical & Support Options, 205 School Street , Suite 302, Gardner MA 01440",csoinc.org,Nonprofit/Community Resource,"CSO Community Events, Outpatient Groups, and Wellness Activities for Behavioral Health in Western MA",,"PLEASE NOTE: If someone you know would like to receive this monthly newsletter, we can sign them up. Have them call our office today (978-730-1275).",Please call: 978-730-1275,Summer.HaggertyMeeker@csoinc.org,978-730-1275,"CSO Community Events, Outpatient Groups, and Wellness Activities for Behavioral Health in Western MA","PLEASE NOTE: If someone you know would like to receive this monthly newsletter, we can sign them up. Have them call our office today (978-730-1275)."
"Field of Dreams therapy Farm, LLC",Mental Health Service,Worcester County,"46A Brooks Road, Paxton MA 01612",n/a,Nonprofit/Community Resource,"A unique private practice working with rescued horses. to provide individualized treatment for children and adults who are coping with anxiety, depression, grief, trauma and other life transitions.",N/A,Adults and caregivers,"Contact Laurie J. Drazek, LCSW, MSW, M. Ed, Clinical Social Worker By appointment only 774-696-3203",n/a,774-696-3203,"Benefits: improved social skills, confidence, trust and empathy, impulse control emotional awareness.",
Foster Care Essentials (Presented Nov. 2022 and May 2024 - Ask CASA),Day to Day Essentials,All of Massachusetts,"Hopedale Union Evangelical Church, 25 Dutcher Street, Hopedale, MA",www.fostercareessentials.com,Nonprofit,"We provide essentials, at no charge, to families that care for foster children, and kinship care.",N/A,Anyone on behalf of foster children including Foster Parents,Email or attend event,fostercareessentials@gmail.com,(774) 248-4139,"Essentials include clothing, toys, baby gear, sports gear, diapers, backpacks, school supplies, and personal hygiene products.",
"Fostering Change, Inc. Leominster (Presented Nov. 2022 - ASK CASA)",Day to Day Essentials,Any New England Community that can reach Central Mass.,"Leominster, MA","Fostering Change, Inc | Leominster MA | Facebook",Nonprofit,We provide foster kids the resources to succeed and the experiences of being a kid.,N/A,Anyone on behalf of children and families in need.,,,,"Sponsors various gift, clothing, and needs events throughout the year in the Leominster area.",Follow them on Facebook to keep up with their various public offerings.
Gardner Family Resource Center,Children & Families Support; Mental Health Services; Socialization Activities,Central Massachusetts,"205 School Street Suite 302 Gardner, MA 01440",Facebook,Nonprofit/Community Resource,The Gardner Family Resource Center offers a wide range of *FREE* activities and supports for any family with children (ages 0-18).,N/A,n/a,(978) 730-1275,"Visit us at 205 School Street, Suite 302 or call 978-730-1275.",(978) 730-1275,"Our Family Support Services CSO’s Family Support Services are part of the Massachusetts Children’s Behavioral Health Initiative (CBHI). As one of the region’s leading family support service providers, CSO is committed to engaging youth and families in individualized and coordinated trauma-informed care that is family-centered and community-based. All CBHI services are voluntary. Services are available at your home, in our offices, or at the location of your choice. Urgent access available. Walk-in appointments welcomed. Parent Support Groups Educational classes including financial literacy Arts, cultural, and recreational activities--dance, yoga, and more! Specialized clinical supports for youth and their families Family Groups for learning and skill-building.",
"Girls, Inc. of Worcester","Mentorship, safe spaces and programs for Girls",Worcester County,125 Providence St. Worcester MA 01604,girlsincworcester.org,Nonprofit/Community Resource,"School year programs, Summer Programs, Offsite Programs, STEM and Leadership Programs",Serving girls K-12 grades,Families and cargivers for girls K-12 grade.,Visit www.girlsincworcester.org to register for programs,info@girlsincworcester.org,508-755-6455,Visit ,
Griptape,Youth Learning Alternative,Nationally,n/a,,Nonprofit,"We give youth who are seeking access to resources and opportunities the support, respect, and authority to pursue learning in their own way.","GripTape is a 501(c)(3) nonprofit that offers young people ages 14–19 total control to design a 10-week learning experience, funding to pursue this learning, and a Champion to support them.","If you’re 14–19, have an interest or passion you want to pursue, and need resources to do it, apply for the GripTape Learning Challenge.",Online Form,info@griptape.org,n/a,,
Grow School,Alternative School,Southern Worcester County,,Program Directory — Southern Worcester County Educational Collaborative,Nonprofit/Community Resource,,,,,,,,
ilearn wellness group,Mental Health/Behavioral Services,Massachusetts,"ilearn wellness group        199 Wells Ave, First Floor, Newton, MA 02459",About - ilearn wellness,Nonprofit,ilearn wellness group’s purpose is to improve the lives of those facing behavioral health needs by providing more equitable access to therapeutic services.,N/A,n/a,Call: (774) 519-6411,"Jillian Giampa M.S. Ed. | ilearn wellness group
Community Outreach Liaison
| p | (774) 608-0450 jgiampa@learnwelleducation.com
",Call: (774) 519-6411,"At ilearn wellness group, we are committed to providing quality care to adolescents with behavioral health issues. Our new Adolescent Psychiatric Day Treatment strives to support individuals as they work towards their goals and create long-term success in their lives. This program will operate Monday through Friday, 8:30am – 5:00pm and includes medication management, group therapy, individual therapy, psychoeducation, and academic instruction.","Options of service available are inpatient, outpatient and virtual depending on the level of care needed."
IEP Process (mass. dese) Individualized Education Program,Education ,All of Massachusetts,Online,Individualized Education Program (IEP) - Special Education,Government Organization,,N/A,,,,,,
IVOC - Inner Voice Outer Change for Youth,Therapeutic Services through the creation of music and multimedia projects,Central Massachusetts and Worcester County,Worcester County,Inner Voice Outer Change,Nonprofit,"The goal of ilearn wellness group is to create a supportive environment through evidence-based therapies and academic excellence to encourage resiliency and healing and a return to family, community, and school.",N/A,"Do you know a teenager who finds it difficult to express their emotions, leading to concerning behavior? Have they rejected the idea of therapy, even though they need extra support? If they have a passion for music and multimedia, consider helping them channel that interest into a healthy outlet. ",To schedule an appointment email or call info@ivocforyouth.com or call 978-822-6501,info@ivocforyouth.com,978-822-6501,"We bring our professional music and videography equipment to schools and programs throughout Central Massachusetts, eliminating barriers and providing equitable resources for some of our most vulnerable youth.","We began our Upstream Initiative to support the mental well-being of our kids before they face serious challenges. We aim to help them develop healthy coping methods early on. With your help, our Upstream Initiative will reward students for academic success by providing FREE access to self-care options. Join us in taking proactive steps to support their well-being!"
Kid's Net - MSPCC,"Resources for foster, pre-adoptive and kinship families",All of Massachusetts,Boston: 781-860-2693 Central: 781-860-2693 Northern: 781-879-8272 Southern: 857-293-3392 Western: 413-747-0040,Kid's Net - MSPCC,Nonprofit/Community Resource,Kids-Net-Brochure.pdf (mspcc.org),N/A,Our application is open,Call us at 1-800-486-3730,kidsnet@mspcc.org,Call us at 1-800-486-3730,Kids-Net-Brochure.pdf (mspcc.org),
Kind Hearts for Kids,Birthday/Holiday Gifts,"Cape Cod, as well as all of MA if they can get to us or arrange a meetup","Kind-Nest, 4 Barlows Landing Road #18, Pocassat, MA 02559",www.kindheartsforkids.org,Nonprofit,"Serves vulnerable children and teens living in foster, adoptive, and kinship care including grandparents raising grandchildren. We're dedicated to being a compassionate, supportive, and positive influence on these children by honoring and celebrating them on their birthdays & holidays. We are committed to providing fun events to shower them with kindness, and help build confidence and self respect. We engage and bring awareness to their needs through fundraising, spreading our group’s important message and engaging in service projects in our local community.",n/a,May and September.,Email kindheartsforkidsinc@gmail.com,kindheartsforkidsinc@gmail.com,n/a,"We bring joy through birthday and holiday celebrations, while also building confidence and self-respect through fun events.",
Kinship Legal Toolkit,Support for Kinship Placements,Nationally,Website,Kinship Legal Toolkit,Government Organization,A legal resource website provided be the American Bar Association as a resource for Kinship placements.,n/a,,Kinship Legal Toolkit,n/a,n/a,This is provided by the American Baar Association wiht support from the Dave Thomas Foundation,
Kinship Navigator,Support for Kinship Placements,All of Massachusetts,Massachusett,Kinship Navigator | Mass.gov,Government Organization,Kinship Navigator is a program of the Commonwealth of Massachusetts that assists all kinship caregivers (grandparents and other relatives) with accessing services for themselves and the children they are raising.,Online Application Process,Kinship Foster Placement Caregivers and support workers,Visit website to complete a referral application. https://www.mass.gov/kinship-navigator,kinshipnavigator@mass.gov,1-844-924-4KIN (4546),This is offered through the Department of Children and Families,
Legendary Legacies Inc.,Re-entry Support for Men,"Worcester, MA",40 Southbridge St. Suite 200 Worcester MA 01608,https://legendlegacy.org/,Nonprofit/Community Resource,We offer young men the opportunity to develop the skills necessary to become productive citizens and maximize their God given potential by providing positive male adult role models through programming efforts.,,,,"Ronald B. Waddell Jr., Executive Director, rwaddell@legendlegacy.org, Edgardo Pizarro, Community Reponse Coordinator, epizarro@legendlegacy.org and Gabe Rodriguez, gaberodriguez@legendlegacy.org",857-413-8207 and 508-579-8059,,
Live Another Day,Addictions and Mental Health Resources for All,Nationwide,16 Best Reviewed Rehab Centers in Massachusetts | Drug & Alcohol (liveanotherday.org),Live Another Day: Substance Abuse & Mental Illness Recovery Support,Nonprofit,"Live Another Day was created in early 2021 as a response to the unprecedented increase in substance abuse, mental illness, and deaths resulting from the pandemic. We’re a small, tight-knit group of business professionals and clinicians who have invested thousands of hours towards creating a truly one-of-a-kind recovery resource. We’ve evaluated over 14,000 treatment providers throughout the country and only listed the centers that meet our standards for high-quality care. Many of us are in recovery ourselves, and our sincere wish is that this website gives you, the visitor, a second chance at life. Recovery is truly a gift and we’re here to support you.",N/A,Anyone - Specific access to the BIPOC community,Call 24/7 Helpline 1-866-934-6616,Other inquiries fill out online form at https://liveanotherday.org/contact/,Call 24/7 Helpline 1-866-934-6616,,
Love Your Labels,"Love Your Labels builds project-based art, fashion, and design programs for 2SLGBTQIA+ youth and creates affirming, loving space for young people to be themselves and find community.",Central Massachusetts ,Love Your Labels  PO Box 2301 Worcester MA 01604,Love Your Labels,Nonprofit/Community Resource,Threads Youth Fashion + Identity Program — Love Your Labels     Drag Story Time   https://www.loveyourlabels.org/drag-story-time    Queer Coalition of Greater Worcester https://www.loveyourlabels.org/queer-coalition-of-greater-worcester,,,Parents & Families Network — Love Your Labels,The team@loveyourlabels.org email for general inquiries and email dani@loveyourlabels.org for any inquiries specific to the parents and caregivers group,,We want to show young people who are struggling that it gets better. We want to celebrate the uniqueness of our communities. We want to see a world where no one needs to hide themselves or is treated differently because of who they are.,
"LUK, Inc. ","Community Engagement & Support (CES) Youth Prevention and Early Intervention, Mentoring, Youth Development",Worcester County,"Locations in Fitchburg, Worcester, Webster and Boylston",www.luk.org,Nonprofit/Community Resource,"LUK's mission is to engage youth, families, adults and communities in partnering to develop resources that respond to current and emerging trends, especially around substance use prevention and positive youth development. LUK has community based programs that service the whole county and will work with youth in their school, home or commnity environment as needed. Case managers run youth groups in areas of need. The programs are primarliy driven towards youth and will offer services to caregivers to educate and enhancement parent/caregivers engagement with youth.",Referrals submitted via email to referrals@luk.org. Some programs have certain or varying age requirements. See specific youth programs for age appropriate requirements.,"Anyone, if the child is under 18 LUK will need parental/guardian consent.","Call LUK 1-800-579-0000 or Main line 978-345-0685, email referrals@luk.org, the direct link to make a referral is www.luk.org/make-a-referral  ",prevention@luk.org,"Call LUK 1-800-579-0000, or Main line 978-345-0685",,
Massachusetts Adoption Resource Exchange (MARE),Adoption Services and Support,Massachusetts,,Massachusetts Adoption Resource Exchange,Nonprofit/Community Resource,,Families eligible for foster and adoption process,,,,,,
